name,code,symbolCode,tradePrice,change,changePrice,changeRate,accTradeVolume,accTradePrice,marketCap,foreignRatio
빅텍,KR7065450009,A065450,6870.0,FALL,50.0,-0.0072254335,132185,906773340,196844736000.0,1.360
모비릭스,KR7348030008,A348030,20600.0,FALL,150.0,-0.0072289157,13875,286236250,191662400000.0,0.090
슈피겐코리아,KR7192440006,A192440,54700.0,FALL,400.0,-0.0072595281,8924,488523500,340035056100.0,15.990
비에이치,KR7090460007,A090460,20500.0,FALL,150.0,-0.0072639225,246464,5029182400,690700104000.0,7.990
SGC이테크건설,KR7016250003,A016250,67900.0,FALL,500.0,-0.0073099415,4631,312548400,137446371300.0,4.610
에이스침대,KR7003800000,A003800,47500.0,FALL,350.0,-0.0073145246,236,11163800,526775000000.0,3.910
유니온커뮤니티,KR7203450002,A203450,4745.0,FALL,35.0,-0.0073221757,72683,348333840,69651888215.0,6.360
아이큐어,KR7175250000,A175250,40600.0,FALL,300.0,-0.0073349633,21852,885496750,366740896200.0,0.930
바이온,KR7032980005,A032980,1350.0,FALL,10.0,-0.0073529412,182864,245527035,90316048950.0,3.480
예스24,KR7053280004,A053280,13500.0,FALL,100.0,-0.0073529412,117619,1566379450,337500000000.0,0.350
에프엔에스테크,KR7083500009,A083500,13450.0,FALL,100.0,-0.0073800738,116045,1553771550,112787960900.0,0.910
테라사이언스,KR7073640005,A073640,2010.0,FALL,15.0,-0.0074074074,269085,539409720,143018468670.0,0.880
한국정보인증,KR7053300000,A053300,8020.0,FALL,60.0,-0.0074257426,103799,828771330,249943300000.0,0.720
리노공업,KR7058470006,A058470,186100.0,FALL,1400.0,-0.0074666667,12759,2381074200,2836605057000.0,48.890
대성미생물,KR7036480002,A036480,19900.0,FALL,150.0,-0.0074812968,7615,151912300,75620000000.0,2.470
케이아이엔엑스,KR7093320000,A093320,65600.0,FALL,500.0,-0.0075642965,6513,427556300,320128000000.0,29.850
엘티씨,KR7170920003,A170920,13100.0,FALL,100.0,-0.0075757576,16069,209904600,105053655300.0,1.090
스페코,KR7013810007,A013810,7750.0,FALL,60.0,-0.0076824584,87937,680129480,113579892500.0,0.890
화일약품,KR7061250007,A061250,3870.0,FALL,30.0,-0.0076923077,167117,646511345,254001850110.0,1.060
삼천리자전거,KR7024950008,A024950,12850.0,FALL,100.0,-0.0077220077,51609,657176600,170565464450.0,6.150
강스템바이오텍,KR7217730001,A217730,6410.0,FALL,50.0,-0.0077399381,48186,307314200,163850420080.0,1.260
엘앤케이바이오,KR7156100000,A156100,19150.0,FALL,150.0,-0.0077720207,54120,1031839850,256471028450.0,3.560
인선이엔티,KR7060150000,A060150,12750.0,FALL,100.0,-0.0077821012,169865,2156308100,593686053000.0,4.290
엠투엔,KR7033310004,A033310,19050.0,FALL,150.0,-0.0078125,39230,745209200,479699078700.0,0.400
에스텍파마,KR7041910001,A041910,12700.0,FALL,100.0,-0.0078125,49761,630686500,151107940100.0,1.620
서원인텍,KR7093920007,A093920,7570.0,FALL,60.0,-0.0078636959,19505,147053880,140802000000.0,6.830
씨엠에스에듀,KR7225330000,A225330,7520.0,FALL,60.0,-0.0079155673,144688,1076490360,140132402560.0,1.640
플레이위드,KR7023770001,A023770,12500.0,FALL,100.0,-0.0079365079,148905,1835952500,108794112500.0,1.200
판타지오,KR7032800005,A032800,125.0,FALL,1.0,-0.0079365079,6538027,812709114,80851082500.0,2.030
대양전기공업,KR7108380007,A108380,18700.0,FALL,150.0,-0.0079575597,14709,272241600,178909127100.0,1.870
현대무벡스,KR7319400008,A319400,4935.0,FALL,40.0,-0.008040201,29851,146439630,501999668940.0,0.010
에이치엘비생명과학,KR7067630004,A067630,9860.0,FALL,80.0,-0.0080482897,424534,4174935730,928623733160.0,6.070
서울반도체,KR7046890000,A046890,18450.0,FALL,150.0,-0.0080645161,149073,2732975200,1075734630000.0,9.930
예스티,KR7122640006,A122640,12300.0,FALL,100.0,-0.0080645161,51891,630594550,209869561800.0,1.030
한송네오텍,KR7226440006,A226440,1845.0,FALL,15.0,-0.0080645161,556318,1022039880,99271221300.0,0.950
티씨케이,KR7064760002,A064760,196400.0,FALL,1600.0,-0.0080808081,8449,1654393600,2292970000000.0,74.760
파마리서치,KR7214450009,A214450,85400.0,FALL,700.0,-0.0081300813,28961,2465847100,863558822000.0,14.030
에프엔씨엔터,KR7173940008,A173940,6090.0,FALL,50.0,-0.0081433225,8567,52129480,87482119200.0,0.860
삼진,KR7032750002,A032750,12150.0,FALL,100.0,-0.0081632653,12592,152639550,72900000000.0,2.890
아이퀘스트,KR7262840002,A262840,12100.0,FALL,100.0,-0.0081967213,17975,215694950,119306000000.0,0.200
대원산업,KR7005710009,A005710,8440.0,FALL,70.0,-0.0082256169,13637,114632600,169117344000.0,13.120
엔에이치스팩16호,KR7353190002,A353190,3010.0,FALL,25.0,-0.0082372323,25153,75789460,12973100000.0,1.190
필옵틱스,KR7161580006,A161580,12000.0,FALL,100.0,-0.0082644628,37038,443907000,248166060000.0,0.420
동일철강,KR7023790009,A023790,7190.0,FALL,60.0,-0.0082758621,31428,222521200,52811161150.0,1.410
룽투코리아,KR7060240009,A060240,7190.0,FALL,60.0,-0.0082758621,69849,497394250,182836551960.0,45.240
콜마비앤에이치,KR7200130003,A200130,47900.0,FALL,400.0,-0.0082815735,34807,1667764400,1415136428200.0,2.600
파루,KR7043200005,A043200,1195.0,FALL,10.0,-0.0082987552,69166,82505745,46348609165.0,4.080
에스피지,KR7058610007,A058610,11900.0,FALL,100.0,-0.0083333333,164073,1937817500,263910584000.0,1.750
로체시스템즈,KR7071280002,A071280,5950.0,FALL,50.0,-0.0083333333,37436,222680130,91014787850.0,41.670
투비소프트,KR7079970000,A079970,2380.0,FALL,20.0,-0.0083333333,76138,179596830,88330191880.0,1.560
